house_id	housedel_id	house_code	standard_id	city_code	bizcircle_code	resblock_id	resblock_name	building_id	building_no	floor_name	floor_ftr	bedroom_amount	parlor_amount	toilet_amount	cookroom_amount	build_size	face_code	face_ftr	face_ftr_new	build_end_year	build_end_year_ftr	build_end_year_ftr_new	is_sales_tax_ftr	is_sole_ftr	property_fee_ptr	distance_metor_code_ftr	is_school_district_ftr	fitment_type_code	fitment_ftr	total_floor_ftr	floor_scale	dealdate	dealdate_ftr	dealdate_ftr_new	realmoney	realmoney_wan	scale	uscale	balcony_amount_ftr	frame_structure	frame_structure_ftr	garden_amount_ftr	terrace_amount_ftr	balcony_area_ftr
12782306	213244940	BJCY84132188	1115033921139	110000	18335713	1111027374303	富力又一城C区	1112027394775	2	7	7	2	2	1	1	87.0	100500000001	0	1.0	2009	69	-6	3	0	2.2	5	1	112100000004	3	23	0.304347826087	20111210	143	43	1420000.0	142.0	1.81024035089	1.81024035089	1	304400000001	1	0	0	0.0
15117809	217916136	BJCY88840156	1115033955775	110000	18335713	1111027374303	富力又一城C区	1112027397071	3	7	7	2	2	1	1	91.54	100500000003;100500000007;	0	3.0	2010	70	-5	1	0	2.2	5	1	112100000004	3	22	0.318181818182	20150422	183	3	2550000.0	255.0	1.03059862492	1.03059862492	1	304400000001	1	0	0	0.0
15484888	218647760	BJCY89571652	1115042697595	110000	18335713	1111027374303	富力又一城C区	1112041800386	16	12	12	2	2	1	1	89.17	100500000003;100500000007;	0	3.0	2011	71	-4	3	0	2.2	4	1	NULL	3	22	0.545454545455	20150610	185	1	2735000.0	273.5	1.00491492955	1.00491492955	1	304400000001	1	0	0	0.0
13140668	214092129	BJCY85015040	1115041135825	110000	18335713	1111027374303	富力又一城C区	1112027425772	9	17	17	2	2	1	1	89.79	100500000003	0	2.0	2010	70	-5	1	0	2.2	0	0	112100000004	3	18	0.944444444444	20121108	154	32	2080000.0	208.0	1.30688132972	1.30688132972	1	304400000001	1	0	0	0.0
13972862	215174373	BJCY86101346	1115034166502	110000	18335713	1111027374303	富力又一城C区	1112027399367	4	8	8	2	2	1	1	91.0	100500000003;100500000007	0	3.0	2009	69	-6	0	0	2.2	0	0	112100000004	3	18	0.444444444444	20130831	163	23	2680000.0	268.0	1.00915956076	1.00915956076	1	304400000001	1	0	0	0.0
4788019	218736547	BJCY89660439	1115029550378	110000	18335713	1111027374303	富力又一城C区	1112027417927	8	10	10	2	2	1	1	89.0	100500000008	0	2.0	2009	69	-6	0	1	2.2	4	1	NULL	3	27	0.37037037037	20150811	187	-1	2499000.0	249.9	0.994858281885	0.994858281885	1	304400000001	1	0	0	0.0
4885700	213308222	BJCY84231133	1115033147955	110000	18335713	1111027374303	富力又一城C区	1112027399367	4	5	5	3	2	3	1	171.0	100500000003;100500000007	0	3.0	2009	69	-6	0	0	2.2	0	0	112100000004	3	18	0.277777777778	20120219	145	41	3030000.0	303.0	1.65403554606	1.65403554606	2	304400000001	1	0	0	0.0
13334557	214070217	BJCY84993128	1115031128157	110000	18335713	1111027374303	富力又一城C区	1112027397071	3	20	20	2	2	1	1	89.0	100500000003	0	2.0	2010	70	-5	1	0	2.2	0	0	112100000004	3	22	0.909090909091	20121107	154	32	1900000.0	190.0	1.30688132972	1.30688132972	1	304400000001	1	0	0	0.0
13150344	213776062	BJCY84698973	1115030207843	110000	18335713	1111027374303	富力又一城C区	1112027439136	13	11	11	1	0	1	1	47.0	100500000003	0	2.0	2008	68	-7	0	0	2.2	2	0	112100000004	3	18	0.611111111111	20120812	151	35	860000.0	86.0	1.36299157399	1.36299157399	1	304400000001	1	0	0	0.0
14803726	217084777	BJCY88008939	1115031392534	110000	18335713	1111027374303	富力又一城C区	1112027403608	6	2	2	2	1	1	1	88.5	100500000003;	0	2.0	2011	71	-4	1	1	2.2	4	1	112100000004	3	23	0.0869565217391	20140905	176	10	2450000.0	245.0	0.99324104996	0.99324104996	1	304400000001	1	0	0	0.0
15118242	217917218	BJCY88841238	1115033964982	110000	18335713	1111027374303	富力又一城C区	1112027429261	11	8	8	1	0	1	1	46.87	100500000003;	0	2.0	2010	70	-5	1	1	2.2	4	1	112100000004	3	18	0.444444444444	20150130	180	6	1225000.0	122.5	1.0547133647	1.0547133647	1	304400000001	1	0	0	0.0
13317894	214196344	BJCY85123255	1115032261912	110000	18335713	1111027374303	富力又一城C区	1112027439136	13	3	3	2	2	1	1	90.33	100500000003	0	2.0	2009	69	-6	1	0	2.2	0	0	112100000004	3	18	0.166666666667	20130120	156	30	2039000.0	203.9	1.17395956682	1.17395956682	1	304400000001	1	0	0	0.0
4888918	200260827	BJCY00488460	1115031402654	110000	18335713	1111027374303	富力又一城C区	1112027403608	6	2	2	2	2	1	1	87.0	100500000001	0	1.0	2009	69	-6	1	0	2.2	0	0	112100000004	3	23	0.0869565217391	20111007	141	45	1645000.0	164.5	1.38693730355	1.38693730355	1	304400000001	1	0	0	0.0
15245862	218216617	BJCY89140542	1115033515837	110000	18335713	1111027374303	富力又一城C区	1112027397071	3	6	6	2	1	1	1	91.64	100500000003;100500000007;	0	3.0	2010	70	-5	3	0	2.2	4	1	112100000004	3	22	0.272727272727	20150403	183	3	2420000.0	242.0	1.03059862492	1.03059862492	1	304400000001	1	0	0	0.0
14828495	217149222	BJCY88073384	1115033515840	110000	18335713	1111027374303	富力又一城C区	1112027397071	3	6	6	2	2	1	1	91.47	100500000003;100500000007;	0	3.0	2009	69	-6	1	0	2.2	5	1	112100000004	3	22	0.272727272727	20141010	177	9	2530000.0	253.0	0.981917396511	0.981917396511	1	304400000001	1	0	0	0.0
13019132	214043231	BJCY84966142	1115031057121	110000	18335713	1111027374303	富力又一城C区	1112027407800	7	18	18	2	2	1	1	89.0	100500000003;100500000005	0	2.0	2009	69	-6	1	0	2.2	0	0	112100000004	3	27	0.666666666667	20121004	153	33	2020000.0	202.0	1.4078570576	1.4078570576	1	304400000001	1	0	0	0.0
